Year,Rainfall,Predicted,Lower,Upper
1984,93.7,92.9,,
1985,108.6,108.600,,
1986,123.7,123.700,,
1987,98.4,112.234,,
1988,123.4,112.278,,
1989,93.7,107.453,,
1990,103.8,98.256,,
1991,65.1,91.127,,
1992,70.2,53.066,,
1993,132.7,109.870,,
1994,94.9,102.635,,
1995,117.4,115.560,,
1996,139.1,113.708,,
1997,133.8,131.386,,
1998,125.7,124.544,,
1999,50.2,77.707,,
2000,94.9,92.730,,
2001,104,99.858,,
2002,102.2,92.967,,
2003,112.2,124.312,,
2004,101.3,104.728,,
2005,109.1,143.153,,
2006,93.4,88.370,,
2007,93.8,91.131,,
2008,76.3,92.651,,
2009,76.5,70.315,,
2010,87.1,92.098,,
2011,75.7,80.809,,
2012,82.9,89.912,,
2013,83.3,81.706,,
2014,84,84.166,,
2015,88.8,77.360,,
2016,86.4,67.014,,
2017,79.9,74.303,,
2018,81.7,60.478,43.432,87.524
2019,,56.114,46.735,85.494
2020,,57.612,48.227,86.997
2021,,54.635,45.191,84.079
2022,,58.116,50.604,87.628
2023,,57.944,54.130,87.758
2024,,61.589,57.932,92.246
2025,,55.403,49.301,86.504
