Crop,Season/ duration in days,Recommended
Paddy,Medium,Andhra
Paddy,,
Paddy,Mid-early,Chhattisgarh
Paddy,Medium,Chhattisgarh
Paddy,145-150,Orissa
Paddy,160,Boro
Paddy,152,Semi
Paddy,132-135,Terraced
Wheat,120,Madhya
Wheat,108,Maharashtra
Wheat,169,Punjab
Wheat,123,Eastern
Wheat,167 irrigated   & 180 rainfed,Himachal
Wheat,NA,Himachal
Wheat,NA,Eastern
Wheat,NA,Punjab
Wheat,NA,Maharshtra
Barley,130,Punjab
Barley,NA,Punjab
Barley,190,Himachal
Maize,80-82,Himachal
Maize,95,Punjab
Maize,99,Karnataka
Maize,NA,Andhra
Maize,NA,Punjab
Maize,NA,Rajasthan
Pearl Millet,80,Rajasthan
Pearl Millet,81,Rajasthan
Pearl Millet,80-85,Rajasthan
Pearl Millet,80-85,Andhra
Pearl Millet,78-80,Andhra
Pearl Millet,NA,Rajasthan
Pearl Millet,NA,Rajasthan
Finger Millet,119,Chhattisgarh
Indian Mustard,144,Rajasthan
Indian Mustard,NA,Plains
Indian Mustard,NA,Uttar
Indian Mustard,130,Uttar
Yellow Sarson,110-115,UP
Linseed,114,Bundelkhand
Linseed,134,Uttar
Linseed,NA,Madhya
Groundnut,108,West
Groundnut,122,Karnataka
Groundnut,105-110,Jharkhand
Sesame,NA,Rajasthan
Chickpea ,103-111,MP
Bengal Gram,110,Maharashtra
Bengal Gram,NA,Karnataka
Lentil,135,Punjab
Lentil,147,Punjab
Fieldpea,137,Punjab
Fieldpea,140,Uttarakhand
Fieldpea,NA,Eastern
French Bean,108,Gujarat
Mungbean,NA,Karnataka
Urdbean,NA,Punjab
Urdbean,NA,Karnataka
Cluster Bean,110,Uttar
Cluster Bean,100,Uttar
Horse Gram,110,South
Sugarcane,NA,Punjab
Sugarcane,NA,Punjab
Sugarcane,360,Tamil
Cotton,165,Gujarat
Cotton,150,Punjab
Cotton,NA,Maharashtra
Desi Cotton,NA,Punjab
